dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y
4.835692702280058e-12,11.488815962744328,-4.821836786959027e-12,-4.195377661893499e-24,-9.484998825487255e-12,4.188037092201782e-24,4.297459764966405e-32,1.0172228191477836e-19,1.0172228191477836e-19,0.10756748491452034,-8.106544446234925e-14,9.48901018554569e-22,0.00011183741329252993,6.174440213564475e-07,0.006893762447551949,0.10755894740483839,0.004007607361288591,1.4035961197121952e-05,-1.7165467611991494e-06,0.0015775098460158918,1.7165467611991486e-06,0.00032541411118407226,-1.613530656378069e-05,-4.5240645838985054e-07,7.4250239144717544e-09,0.0009523202519805816,7.706119537061487e-05,8.728490394024696e-06,0.0005422313801302324,-9.192095032440751e-06,2.1154057380099055e-07,-8.126924104242702e-09,0.009729591330823538,0.00029912642500826614,-4.379695047792756e-05,-9.877634606695921e-07,0.009321245632810338
4.92227e-12,11.4678,-4.90823e-12,-4.08548e-24,-9.03661e-12,4.0794200000000006e-24,4.3764e-32,1.01584e-19,1.01584e-19,0.112455,-8.36956e-14,9.9246e-22,0.000136449,1.07613e-06,0.007215369969204849,0.11252306485551251,0.004002942566927058,1.4706036637284848e-05,-2.0995003425265163e-06,0.0017401407392951406,2.099500342526515e-06,0.0003514715630647218,-1.9031049534923528e-05,-5.114756514364666e-07,8.294964367763755e-09,0.0010468559013511944,7.475966150560674e-05,9.632156084433605e-06,0.000540610052502853,-9.394673221747023e-06,2.13820537216238e-07,-9.474527251781025e-09,0.009731963000968223,0.0003074385840980901,-4.718385856156285e-05,-1.0386010000061837e-06,0.0097561
5.308500666413929e-12,11.374045522673528,-5.2936394447991715e-12,-3.595214672849675e-24,-7.036299070445417e-12,3.594867432411901e-24,4.7285609057668074e-32,1.0096710945820223e-19,1.0096710945820223e-19,0.1342587321363303,-9.542900763493414e-14,1.1867813160383221e-21,0.00024624394377705455,3.1223776407994637e-06,0.008650095823244991,0.13466852840801208,0.00398213241597078,1.7695315473855754e-05,-3.8078975877272106e-06,0.0024656547013261875,3.807897587727209e-06,0.000467716667381416,-3.1949271366307065e-05,-7.749896949069237e-07,1.2175862592403211e-08,0.001468589633147665,6.4492270609072e-05,1.3663506230646845e-05,0.00053337713502345,-1.0298396381480919e-05,2.2399170000903973e-07,-1.548633029302271e-08,0.009742543277375778,0.00034452002264086213,-6.229322095419236e-05,-1.2653927481193073e-06,0.01169603225078431
5.8369204594738324e-12,11.245775745529007,-5.8209356871069914e-12,-2.9244603147802016e-24,-4.2995824413264696e-12,2.931928961293355e-24,5.210368305155571e-32,1.0012311336782438e-19,1.0012311336782438e-19,0.1640894126733993,-1.114820178526535e-13,1.452641172692094e-21,0.0003964594147762325,5.921942380026422e-06,0.010613009710763904,0.16473003636666544,0.003944640315333844,2.184389408073579e-05,-7.642773832148392e-06,0.003667666819826955,7.642773832148386e-06,0.0006375468827159207,-5.863892705915551e-05,-1.2591071451686052e-06,1.7989425541699275e-08,0.0021564282381875124,5.386634609098278e-05,2.0330764445279078e-05,0.0005184667124369052,-1.0671550418710401e-05,2.264474926562605e-07,-2.5669317793112883e-08,0.009770258401785806,0.0003796298822107864,-8.402111053133849e-05,-1.5852979306499618e-06,0.01435014205523744
6.420802734796009e-12,11.104042884046809,-6.403576484766556e-12,-2.1833041621993052e-24,-1.2756224131280809e-12,2.199409044365446e-24,5.742745790474864e-32,9.91905321812658e-20,9.91905321812658e-20,0.19705109551562083,-1.292199380721363e-13,1.7464054488577203e-21,0.0005624413710684144,9.015347001352314e-06,0.012781949334068515,0.19756606870765733,0.0038906787817062113,2.649929762672588e-05,-1.4110148271169463e-05,0.005221116537467338,1.4110148271169455e-05,0.0008313758278528194,-0.00010065734373499553,-1.952565225727211e-06,2.4830621059372802e-08,0.0030333012567956624,4.575409882805387e-05,2.8908411536322003e-05,0.0004961869432420654,-1.0022985884124287e-05,2.1533665883654877e-07,-3.8648650661888405e-08,0.009816382361940991,0.0004009600455482121,-0.00010845911860619889,-1.942070089274801e-06,0.01728282491824162
6.86466e-12,10.9963,-6.84649e-12,-1.6198899999999996e-24,1.02314e-12,1.6425600000000002e-24,6.14745e-32,9.84816e-20,9.84816e-20,0.222108,-1.42704e-13,1.96972e-21,0.000688618,1.1366899999999998e-05,0.014430739938409695,0.22211811407993035,0.0038385297433623866,3.0095417316254536e-05,-2.1169322765299036e-05,0.006552637232258598,2.1169322765299026e-05,0.0009793722350685766,-0.00014372151708165118,-2.612537974696717e-06,3.117974540282423e-08,0.003776589395046236,4.211227809297988e-05,3.6208481500175305e-05,0.000475674656471895,-8.721098801636797e-06,1.9579182345825399e-07,-4.9225294667936354e-08,0.009863597306681095,0.00040476429972751126,-0.00012687693710421462,-2.2062221818157097e-06,0.0195122
6.497827146842391e-12,10.882971356337308,-6.4788024055192915e-12,-1.0691077639091833e-24,2.0344457996184057e-12,1.0945732708247312e-24,5.820552672613643e-32,9.755584475662159e-20,9.755584475662159e-20,0.2323730410592114,-1.3511489257312537e-13,2.0620974254664878e-21,0.0008119352513222324,1.5282339275974228e-05,0.015156301688307212,0.23292241206474795,0.0038155811970663352,3.167791474673808e-05,-2.427576150003403e-05,0.007138582156249438,2.4275761500034024e-05,0.0010444990813250283,-0.0001626722054765396,-2.902963563832293e-06,3.39737216402084e-08,0.00410367849953725,4.050966960018757e-05,3.942092795844714e-05,0.000466648082300391,-8.148194354430757e-06,1.871909829869433e-07,-5.387962027657699e-08,0.009884374570838681,0.0004064383881849053,-0.00013498182597459655,-2.322464143650308e-06,0.0204932519790928
5.193876904427694e-12,10.4801314495392,-5.171813885191743e-12,8.887120553526393e-25,5.629250439434113e-12,-8.533095924397648e-25,4.658557923176587e-32,9.42651395658809e-20,9.42651395658809e-20,0.26886132901471954,-1.0813852340715917e-13,2.3904637789536945e-21,0.0012502808312543864,2.9200225716949646e-05,0.017735395713070614,0.27045522183583615,0.003715224380708038,3.741108069333353e-05,-3.932861056520666e-05,0.00939685455201616,3.932861056520665e-05,0.0012718081649862923,-0.00024880893744959977,-4.146471146230079e-06,4.9361153735104723e-08,0.0053539956637838285,3.8196880086859406e-05,5.1690889655961444e-05,0.00043175953203970785,-4.9792241718928306e-06,1.4000963748998442e-07,-7.003395613234264e-08,0.009977303229852049,0.00039593111953705693,-0.00016293158886367253,-2.704098961534666e-06,0.02398051587857197
3.786780958628709e-12,10.04542590539821,-3.761439326149459e-12,3.001400285838115e-24,9.508413056296749e-12,-2.9552748290236262e-24,3.404646502488653e-32,9.071413141994408e-20,9.071413141994408e-20,0.30823593118992504,-7.902825642679087e-14,2.7448047267133418e-21,0.0017233006354757804,4.4219051549537606e-05,0.02051850248205177,0.3097278294718758,0.003586887125796677,4.378251213997755e-05,-6.0512392422076435e-05,0.011931264245909474,6.0512392422076435e-05,0.0015085053814694166,-0.00036179379004064256,-5.68922216335693e-06,7.831132934008331e-08,0.006750141009900484,3.8577601669502516e-05,6.5326270046805e-05,0.00039485566561789034,-6.097457209719975e-07,7.684105647107828e-08,-8.478649827440585e-08,0.010097656775849954,0.000371538276969635,-0.00019165861874890328,-3.055488292227528e-06,0.02774363101539001
3.21668e-12,9.8693,-3.19001e-12,3.857379999999999e-24,1.10801e-11,-3.8069100000000005e-24,2.8966100000000003e-32,8.92754e-20,8.92754e-20,0.324189,-6.72339e-14,2.88837e-21,0.00191495,5.03041e-05,0.021646109907614543,0.32501758217666976,0.0035276383748774546,4.650070989538813e-05,-7.128909909542275e-05,0.012953483193255342,7.128909909542273e-05,0.0015999123261465336,-0.00041482184469250865,-6.368511752879371e-06,9.800913136154547e-08,0.007312342309248648,3.955748866675218e-05,7.077371699450651e-05,0.0003815743176181613,1.4011157836021161e-06,5.0807862426167895e-08,-8.861057253959909e-08,0.0101541172898189,0.00035870805682815325,-0.00020255823912177445,-3.162080037688216e-06,0.0292683
