u'u',v'v',w'w',u'w',u'v',v'w',k
8.659802436828613281e+00,2.374208569526672363e-01,1.628257751464843750e+00,-1.046988368034362793e-02,-5.657736659049987793e-01,-1.400249451398849487e-02,5.262740612030029297e+00
9.078028678894042969e+00,2.985360324382781982e-01,1.790901303291320801e+00,-2.472549304366111755e-02,-6.355558037757873535e-01,-1.416334137320518494e-02,5.583733081817626953e+00
9.362295150756835938e+00,3.574717044830322266e-01,1.922184467315673828e+00,-3.396642953157424927e-02,-6.908085942268371582e-01,-1.358232274651527405e-02,5.820975303649902344e+00
9.543136596679687500e+00,4.132820069789886475e-01,2.024376392364501953e+00,-3.881363943219184875e-02,-7.331933975219726562e-01,-1.239454373717308044e-02,5.990397453308105469e+00
9.640908241271972656e+00,4.660156071186065674e-01,2.100767612457275391e+00,-4.001498594880104065e-02,-7.650342583656311035e-01,-1.066498830914497375e-02,6.103845596313476562e+00
9.666383743286132812e+00,5.157289505004882812e-01,2.153950452804565430e+00,-3.821004927158355713e-02,-7.885654568672180176e-01,-8.445799350738525391e-03,6.168031692504882812e+00
9.624232292175292969e+00,5.629395842552185059e-01,2.186367273330688477e+00,-3.395086899399757385e-02,-8.060768842697143555e-01,-5.893949419260025024e-03,6.186769485473632812e+00
9.516840934753417969e+00,6.097333431243896484e-01,2.201704025268554688e+00,-2.781794965267181396e-02,-8.203247189521789551e-01,-3.291312605142593384e-03,6.164139270782470703e+00
9.347531318664550781e+00,6.587817668914794922e-01,2.204571962356567383e+00,-2.063627541065216064e-02,-8.340774774551391602e-01,-1.020684838294982910e-03,6.105442523956298828e+00
9.126060485839843750e+00,7.110478878021240234e-01,2.199758529663085938e+00,-1.358060911297798157e-02,-8.491125106811523438e-01,5.092099308967590332e-04,6.018433570861816406e+00
8.872854232788085938e+00,7.646276950836181641e-01,2.191653251647949219e+00,-7.829338312149047852e-03,-8.655449748039245605e-01,1.060359179973602295e-03,5.914567470550537109e+00
