y/h,y^+,U,u'u',v'v',w'w',-Om_z+,om_x'+,om_y'+,om_z'+,u'v',u'w',v'w',P,k,dU/dy
0.0203398,84.99759,16.05059,2.361858,1.117615,1.594855,0.02737526,0.1030108,0.09388317,0.09413057,-0.9524325,0.01894506,-0.001811214,3.258189,2.537164,0.0273992683410879
0.02116214,88.43403,16.14299,2.356936,1.119409,1.590537,0.02639747,0.1007418,0.09192409,0.09215087,-0.952628,0.01902492,-0.001823785,3.239868,2.5334410000000003,0.0264187420971948
0.02199619,91.91943,16.23341,2.352588,1.120894,1.586181,0.02548763,0.09857418,0.09005742,0.09026968,-0.9527521,0.01909633,-0.001836447,3.221934,2.5298315,0.0255054035816515
0.02284177,95.45303,16.32197,2.348737,1.122112,1.581809,0.02463719,0.09650228,0.08827598,0.08847763,-0.9528143,0.01916112,-0.001848412,3.204364,2.526329,0.0246530943233294
0.02369872,99.03412,16.40877,2.345312,1.1231,1.577437,0.02383945,0.0945216,0.08657329,0.08676678,-0.9528214,0.01922259,-0.001859587,3.187132,2.5229245,0.0238531017068104
0.02456687,102.662,16.49389,2.342252,1.123889,1.573079,0.02308909,0.09262738,0.0849436,0.08513122,-0.9527801,0.01928327,-0.001870117,3.170266,2.51961,0.0231013852723345
0.02544605,106.336,16.57742,2.339505,1.124507,1.568744,0.02238142,0.09081569,0.0833818,0.08356533,-0.9526937,0.01934541,-0.001880051,3.153801,2.516378,0.0223931174789679
0.02633611,110.0554,16.65942,2.337026,1.124978,1.564439,0.0217121,0.08908202,0.08188334,0.08206317,-0.9525686,0.01941141,-0.001889716,3.137743,2.5132215,0.021723107811209
0.02723689,113.8197,16.73996,2.334776,1.125321,1.560176,0.02107783,0.08742093,0.08044399,0.08062079,-0.9524104,0.01948297,-0.001899333,3.122083,2.5101365,0.0210885487804595
0.02814824,117.6281,16.81909,2.332721,1.125555,1.55596,0.02047555,0.08582733,0.07905998,0.07923456,-0.9522188,0.01956006,-0.001909473,3.106803,2.507118,0.0204840165736475
0.02907002,121.4801,16.89685,2.330831,1.125693,1.551797,0.0199024,0.08429796,0.07772801,0.07790071,-0.9520041,0.01964055,-0.001920772,3.091882,2.5041605,0.0199101503404439
0.03000209,125.3751,16.97331,2.329081,1.125749,1.54769,0.01935637,0.08282924,0.0764451,0.07661574,-0.9517606,0.01972103,-0.001933447,3.07728,2.5012600000000003,0.0193645340497878
0.03094431,129.3126,17.0485,2.327448,1.125734,1.543647,0.01883596,0.0814182,0.07520857,0.07537771,-0.9514937,0.01979704,-0.001947559,3.062938,2.4984145,0.0188436236835811
0.03189655,133.2919,17.12247,2.325912,1.125659,1.539669,0.01833923,0.08006121,0.07401585,0.07418342,-0.9512086,0.01986423,-0.001963288,3.048807,2.49562,0.0183467139904771
0.03285867,137.3124,17.19525,2.324453,1.125532,1.535757,0.01786463,0.07875483,0.0728647,0.0730305,-0.9508985,0.01991801,-0.001980513,3.03489,2.492871,0.0178706785445679
0.03383055,141.3738,17.26688,2.323056,1.125359,1.531913,0.01741117,0.07749607,0.07175301,0.07191787,-0.9505746,0.019955,-0.001997929,3.021234,2.490164,0.0174161249663016
0.03481207,145.4754,17.3374,2.321705,1.125147,1.528135,0.01697758,0.07628322,0.07067885,0.07084336,-0.9502331,0.01997415,-0.0020152,3.007908,2.4874935,0.0169837150476785
0.03580309,149.6168,17.40686,2.320393,1.124901,1.524424,0.01656208,0.07511373,0.06964036,0.06980493,-0.9498738,0.01997547,-0.002032889,2.994937,2.484859,0.0165674722167885
0.03680351,153.7975,17.47526,2.319114,1.124625,1.52078,0.01616292,0.07398486,0.06863582,0.06880048,-0.9495026,0.01995844,-0.002050632,2.982287,2.4822595,0.016167077891187
0.03781321,158.0169,17.54265,2.31786,1.124322,1.517202,0.01577873,0.0728953,0.06766353,0.06782902,-0.9491194,0.01992264,-0.002068166,2.969901,2.479692,0.015783050578408
0.03883208,162.2746,17.60904,2.316628,1.123995,1.51369,0.01540851,0.07184207,0.06672201,0.06688738,-0.9487284,0.01986818,-0.002085553,2.957723,2.4771565000000004,0.0154120365737573
0.03986001,166.5702,17.67446,2.315411,1.123646,1.51024,0.01505204,0.07082319,0.06580991,0.06597465,-0.9483179,0.01979563,-0.002102725,2.945696,2.4746485,0.0150560959923282
0.04089689,170.9032,17.73894,2.314203,1.123278,1.506847,0.01470907,0.06983798,0.06492594,0.06509045,-0.9478914,0.01970622,-0.002119366,2.933771,2.4721640000000003,0.0147137626986846
0.04194261,175.2731,17.8025,2.312994,1.122895,1.503511,0.01437906,0.06888472,0.06406886,0.0642336,-0.9474648,0.01960193,-0.002135494,2.921966,2.4697000000000005,0.0143831066193578
0.04299708,179.6796,17.86516,2.311779,1.122497,1.500231,0.01406147,0.06796173,0.06323741,0.0634032,-0.9470143,0.01948468,-0.002151046,2.910311,2.4672535,0.0140646932268124
0.04406019,184.1223,17.92695,2.310552,1.122084,1.497006,0.01375586,0.06706667,0.06243038,0.06259842,-0.9465455,0.01935673,-0.002165668,2.898812,2.464821,0.0137586249360937
0.04513185,188.6006,17.98789,2.309314,1.121658,1.493832,0.01346092,0.06619794,0.0616467,0.06181663,-0.9460584,0.01921927,-0.002180215,2.887503,2.462402,0.0134643590166043
0.04621196,193.1142,18.04801,2.308065,1.121217,1.490704,0.01317556,0.06535465,0.06088535,0.06105498,-0.9455495,0.01907161,-0.002194817,2.876421,2.459993,0.0131789076408175
0.04730043,197.6628,18.10731,2.3068,1.120764,1.487619,0.0128997,0.06453482,0.0601454,0.06031322,-0.9450384,0.01891289,-0.002209333,2.865558,2.4575915000000004,0.0129020969900981
0.04839717,202.246,18.16582,2.305517,1.1203,1.48457,0.01263362,0.06373701,0.05942604,0.0595925,-0.9445125,0.01874299,-0.002223758,2.854858,2.4551935,0.0126361503900804
0.04950209,206.8633,18.22356,2.304213,1.119827,1.481554,0.01237688,0.06296155,0.0587266,0.05889271,-0.9439564,0.01856122,-0.002238257,2.844288,2.452797,0.0123795392878991
0.0506151,211.5144,18.28055,2.302885,1.119347,1.478567,0.01212829,0.06220851,0.05804634,0.05821263,-0.9433607,0.01836745,-0.002252473,2.833847,2.4503995,0.0121306626346677
